2,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,-1,H
H,S,AIFL,-1,-1,-1,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,PZ1,PZ2,S,S,S,S,S,S,S,S,S,S,S,S,PZ1,PZ2,S,S,S,H
H,PZ3,PZ4,S,S,S,S,S,PZ1,PZ2,S,PZ1,PZ2,S,S,PZ3,PZ4,S,S,S,H
H,S,S,S,S,S,S,S,PZ3,PZ4,S,PZ3,PZ4,S,S,S,S,S,PZ1,PZ2,H
H,S,S,PZ1,PZ2,S,S,S,S,S,S,S,S,S,S,S,S,S,PZ3,PZ4,H
H,S,S,PZ3,PZ4,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,PZ1,PZ2,S,S,PZ1,PZ2,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,PZ3,PZ4,S,S,PZ3,PZ4,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,PZ1,PZ2,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,PZ3,PZ4,H
H,S,S,S,S,S,S,S,S,S,S,S,S,-1,S,S,PZ1,PZ2,S,S,H
H,S,S,S,PZ1,PZ2,S,S,S,S,S,S,S,AIC,-1,S,PZ3,PZ4,S,S,H
H,S,S,S,PZ3,PZ4,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,PZ1,PZ2,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,PZ3,PZ4,S,S,S,S,S,S,S,S,S,H
H,-1,S,S,S,S,S,S,S,S,S,AIDR,S,S,S,S,S,S,S,S,H
H,1,-1,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
