2,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,-1,AIC,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,CD1,CD2,S,S,S,-1,H
H,S,CD1,CD2,S,S,S,CD1,CD2,CD1,CD2,S,S,S,CD3,CD4,S,S,S,S,H
H,S,CD3,CD4,S,S,S,CD3,CD4,CD3,CD4,S,S,S,S,S,S,CD1,CD2,S,H
H,S,CD1,CD2,S,S,S,CD1,CD2,S,S,S,S,S,S,S,S,CD3,CD4,S,H
H,S,CD3,CD4,S,S,S,CD3,CD4,S,S,S,S,S,S,S,S,S,S,S,H
H,S,CD1,CD2,CD1,CD2,S,S,S,S,S,S,CD1,CD2,CD1,CD2,S,S,S,S,H
H,S,CD3,CD4,CD3,CD4,S,S,S,S,S,S,CD3,CD4,CD3,CD4,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,CD1,CD2,CD1,CD2,S,CD1,CD2,S,S,S,H
H,S,S,S,S,S,S,S,S,S,CD3,CD4,CD3,CD4,S,CD3,CD4,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,CD1,CD2,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,CD3,CD4,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,-1,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,1,-1,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
