H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,-1,2,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,-1,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,P,S,S,H
H,S,S,S,S,S,S,S,H,H,H,H,H,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,H,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,H,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,H,H,H,H,H,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,H,S,S,S,H,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,H,S,S,S,H,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,H,S,S,S,H,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,H,H,H,H,H,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,-1,AIC,-1,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,-1,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,-1,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,1,-1,S,S,P,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
