H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,-1,AIC,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,-1,H
H,PZ1,PZ2,S,S,S,S,S,S,S,S,S,S,S,S,PZ1,PZ2,S,S,S,S,H
H,PZ3,PZ4,S,S,S,S,S,PZ1,PZ2,S,PZ1,PZ2,S,S,PZ3,PZ4,S,S,S,S,H
H,S,S,S,S,S,S,S,PZ3,PZ4,S,PZ3,PZ4,S,S,S,S,S,PZ1,PZ2,S,H
H,S,S,PZ1,PZ2,S,S,S,S,S,S,S,S,S,S,S,P,S,PZ3,PZ4,S,H
H,S,S,PZ3,PZ4,S,S,S,S,S,S,S,S,S,2,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,PZ1,PZ2,S,S,PZ1,PZ2,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,PZ3,PZ4,S,S,PZ3,PZ4,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,PZ1,PZ2,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,PZ3,PZ4,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,PZ1,PZ2,S,S,S,H
H,S,S,S,PZ1,PZ2,S,S,S,S,S,S,S,S,S,S,PZ3,PZ4,S,S,S,H
H,S,S,S,PZ3,PZ4,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,PZ1,PZ2,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,P,S,S,S,S,PZ3,PZ4,S,S,S,S,S,S,S,S,S,S,H
H,-1,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,1,-1,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
